0,1,2,3,4,5
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,General non loop,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Insurance,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Insurance,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Award,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Award,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Membership,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Membership,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Registration,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Registration,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_TradeStyle,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_TradeStyle,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ProvFins,File Processed,2022-12-18_2022-12-18 16:02:09,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ProvFins,File Processed,2022-12-18 16:02:09,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ISOCert,File Processed,2022-12-18_2022-12-18 16:02:10,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ISOCert,File Processed,2022-12-18 16:02:10,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Product,File Processed,2022-12-18_2022-12-18 16:02:10,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Product,File Processed,2022-12-18 16:02:10,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_CustomerTable,File Processed,2022-12-18_2022-12-18 16:02:10,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_CustomerTable,File Processed,2022-12-18 16:02:10,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ExportTerms,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_ExportTerms,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_LocalSalesTerms,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_LocalSalesTerms,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_CountrywiseExport,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_CountrywiseExport,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_localPurchTerms,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_localPurchTerms,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,gen_ImportTerms,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,gen_ImportTerms,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Countrywise Purchase,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_Countrywise Purchase,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,General_Source,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,General_Telephone,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,General_Telephone,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_SIC,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Gen_SIC,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History Non loop,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History Address,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History Address,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Background,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Background,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_auditor,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_auditor,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_StockExchange,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_StockExchange,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Authorize,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Authorize,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Issued,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Issued,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Paidup,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Paidup,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Sharehold,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,History_Sharehold,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Mgmt Loop_Non Loop,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Mgmt Loop_Non Loop,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Relcn Non loop,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Subsidiary,File Processed,2022-12-18_2022-12-18 16:02:11,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Subsidiary,File Processed,2022-12-18 16:02:11,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Affiliate,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Affiliate,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Branch,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Rel_Branch,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Cinvest Loop,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Cinvest Loop,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Bank Loop_Non Loop,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Bank Loop_Non Loop,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Supplier looping,File Processed,2022-12-18_2022-12-18 16:02:12,Data Available - Insert Data
999999999.0,C:\Users\khannapo\OneDrive - Dun and Bradstreet\Desktop\Sample India Limited_ReportToDews_Template.xlsx,Supplier looping,File Processed,2022-12-18 16:02:12,Data Available - Delete Data
